generation	best	sd	avg
0	251264	5769.832273440896	250550.45109780438
1	256281	5391.5855606918185	251802.58582834332
2	256281	5542.184105552534	252597.499001996
3	257841	5510.717373252276	253406.16766467065
4	257841	5431.391049825373	254265.39221556886
5	257841	5480.042260548951	255126.6996007984
6	259235	5814.7053427068895	255702.85429141717
7	259235	5482.229077479959	256847.41716566865
8	259235	5736.759613553995	257429.21057884232
9	264893	5923.383911781847	258129.70758483035
10	264893	5948.293191794312	258778.31836327346
11	264893	6170.519318838425	259393.45908183634
12	264936	6281.740713694331	260145.45508982035
13	265209	6203.090123354847	261239.86427145707
14	265209	6564.016131251543	261859.97005988023
15	265209	6286.460740715799	262898.22954091814
16	267264	6980.118194274281	263323.3502994012
17	267264	6308.9099108699465	264681.70658682636
18	267264	6952.724298865132	265207.77045908186
19	268951	7066.038737217164	266042.9181636727
20	273235	7121.803539708888	266995.4071856287
21	273235	7257.570061234369	267682.9910179641
22	273235	7511.016047850427	268421.34730538924
23	274030	7557.763619296825	269231.30938123754
24	274030	7513.321284269203	270108.630738523
25	274030	7863.660241340699	270851.370259481
26	274030	8378.43259221537	271513.999001996
27	278180	8625.6567294389	272404.619760479
28	278180	8539.328723420538	273167.0728542914
29	278180	8868.666810878107	273993.630738523
30	282533	9065.327761181788	274929.28243512975
31	282533	9147.13948479107	275748.96806387225
32	282533	9745.068848845758	276312.07984031935
33	282533	10157.608840449784	276946.3602794411
34	286720	9932.21912696675	278006.0558882236
35	286720	10174.898009404104	278626.5349301397
36	286720	10116.653363125406	279524.70858283434
37	286720	10651.433545598033	280132.88123752497
38	286720	10128.981493936066	281023.38223552896
39	286720	10809.562836664585	281495.4001996008
40	287769	11432.004487474756	281668.48403193615
41	289275	10974.956740388092	282582.1846307385
42	289275	11081.909186614253	283240.3423153693
43	289275	11309.248526294008	283721.84431137727
44	289275	12317.902479351776	283462.36526946106
45	289275	11467.790218018583	284655.7035928144
46	291280	11811.73883821517	285178.5768463074
47	291280	12837.934721666985	285039.9520958084
48	291280	12984.010223753266	285458.9001996008
49	291280	13647.253249617379	285548.8403193613
50	291280	13441.942615810043	286107.47804391215
51	293385	13912.75671957172	286452.05888223555
52	293385	14466.536178100314	286541.4650698603
53	293385	13756.898601496123	287588.03193612775
54	300018	13087.800400483218	288748.51696606784
55	300018	13252.552021802861	289437.5938123753
56	300018	13843.483817149414	289784.2025948104
57	300018	14253.906748420899	290227.91217564873
58	300018	14343.24745058566	290713.6956087824
59	300018	14982.116185757455	290909.6397205589
60	300018	14273.144458240242	292098.5998003992
61	300018	15250.492162696262	292167.82035928144
62	302418	14674.37591011714	293086.9650698603
63	302418	14885.57674168966	293568.82035928144
64	302418	14165.125022069335	294615.23053892213
65	302418	14855.598314814155	294828.5099800399
66	302418	14635.002200101038	295659.89221556886
67	302418	15330.506019023425	295696.57984031935
68	302418	15393.14167985633	296248.624750499
69	302901	15249.191223782847	297075.50499001995
70	304868	16649.5147589739	296485.000998004
71	304868	16109.249813730565	297453.54191616765
72	304868	14765.484037834436	298935.76447105786
73	304868	16201.884688535692	298609.7105788423
74	305686	15021.484520045562	299638.376247505
75	308608	17363.320628074503	298658.6946107784
76	308608	16586.54591440767	299559.749500998
77	308608	17979.238597960833	299167.7035928144
78	308608	17723.025748755077	299660.1876247505
79	308608	18220.30346997702	299902.41117764474
80	308608	18784.53801071943	299913.1936127744
81	310605	19030.434082790638	299834.1007984032
82	310605	17663.274553790874	301668.7045908184
