generation	best	sd	avg
0	259150	6696.720523573603	250343.251497006
1	260016	7554.459882179688	250558.89321357285
2	260317	7599.071932940398	250997.15069860278
3	261775	7606.096063657464	251237.4021956088
4	263934	7932.1546657314675	251187.1876247505
5	263934	7838.0434322980445	251363.21556886227
6	263934	7905.875749763414	251102.04391217564
7	269457	7989.859205696381	251467.03193612775
8	269457	7941.436028038148	251489.43013972056
9	269457	8299.308747600235	250986.92714570859
10	269457	8071.002702420092	251588.9111776447
11	269457	8183.243356538488	251277.27145708582
12	269457	8114.258432806359	251386.4351297405
13	269457	8180.291708457394	251216.62874251496
14	269457	8071.98891536613	251348.1487025948
15	269457	8252.482496006194	251427.40918163673
16	269457	8448.827511524236	251429.8383233533
17	269457	8461.65851679932	251642.70159680638
18	269457	8302.531345746682	251266.73353293413
19	269457	8423.449709560009	251415.16866267464
20	269457	8148.490426818981	251382.28043912177
21	269457	8378.63902669027	251506.97804391218
22	269457	8378.20367987326	251551.3153692615
23	269457	8536.79556400685	251553.37225548903
24	269457	8507.117823025914	251563.5
25	269457	8396.000778048317	251207.40818363274
26	269457	8345.307358035352	251505.95508982035
27	269457	8498.600848257209	251468.35828343313
28	269457	8369.816371405264	251310.21856287424
29	269457	8218.007285311936	251554.09381237524
30	269457	8464.0259063934	251230.05788423153
31	269457	8576.955469849165	251350.5598802395
32	269457	8413.895696374366	251329.77944111777
33	269457	8313.901185799385	251456.0618762475
34	269457	8608.012206081004	251714.2994011976
35	269623	8550.854180929062	251471.5758483034
36	269623	8357.377075877608	251566.76147704592
37	269623	8307.621453993199	251761.71756487025
38	269623	8422.049211800486	251607.4021956088
39	269623	8584.688117407259	251101.35429141717
40	269623	8412.889343348075	251486.32135728543
41	269623	8430.000799803043	251312.32035928144
42	269623	8800.264985356916	251181.63473053894
43	269623	8354.852070949873	251791.24351297406
44	269623	8465.623141203017	251507.63572854293
45	269623	8560.83848666668	251503.45409181635
46	269623	8546.415494117415	251569.95409181635
47	269623	8674.52489430274	251275.43313373253
48	269623	8412.129562409282	251435.9261477046
49	269623	8190.886849569266	251697.16467065868
50	269623	8211.72137034548	251815.40818363274
51	269623	8510.236223027168	251562.7864271457
52	269623	8707.002225248654	251335.0758483034
53	269623	8632.75242223478	251458.6626746507
54	269623	8419.432494315868	251765.40718562875
55	269623	8388.431240091462	251584.4361277445
56	269623	8394.326151042193	251534.3133732535
57	269623	8504.040206039926	251795.84131736527
58	269623	8348.837770941007	251480.8982035928
59	269623	8557.681095040602	251398.48103792415
60	269623	8422.696849121605	251583.7644710579
61	269623	8429.663148537196	251470.38223552893
62	269623	8518.00261076457	251274.42914171657
63	270179	8427.025662422333	251623.98103792415
64	272750	8530.110226594574	251593.84630738522
65	273385	8649.924293634	251168.23453093812
66	273385	8580.72515534892	251089.83532934132
67	273385	8450.471267210889	251488.4111776447
68	273385	8546.168529737752	251367.90119760478
69	273385	8575.43175039482	251588.93213572854
70	273385	8453.468977895154	251512.66866267464
71	273385	8523.759269010168	251503.24650698603
72	273385	8523.390026018005	251423.14071856288
73	273385	8554.699307655143	251555.6477045908
74	273385	8468.129557926655	251480.96906187624
75	273385	8149.879266638585	252017.03393213573
76	273385	8496.313167742828	251405.0139720559
77	273385	8343.409200542408	251461.0648702595
78	273385	8270.70966683325	251703.34830339323
79	273385	8485.335539353484	251194.32734530937
80	273385	8199.875976814925	251826.90618762476
81	273385	8500.365622548341	251220.40119760478
82	273385	8360.129836621421	251592.40818363274
83	273385	8311.063024501023	251638.52594810378
84	273385	8322.218828409632	251734.9381237525
85	273385	8629.775275650965	251231.1497005988
86	273385	8280.790705435616	251398.3253493014
87	273385	8412.991891178772	251442.6866267465
88	273385	8370.523424567455	251549.0369261477
89	273385	8488.95315522508	251552.46506986028
90	273385	8624.774214629411	251718.55389221557
91	273385	8499.768434982281	251578.15868263473
92	273385	8496.22956398041	251364.64071856288
93	273385	8371.20272680325	251708.5129740519
94	273385	8406.330209155292	251528.84830339323
95	273385	8537.584499925648	251173.49401197606
96	273385	8571.740085987827	251334.83233532935
97	273385	8619.190599233381	251055.499001996
98	273385	8252.086105718374	251615.39421157684
99	273385	8543.849639097658	251573.67964071856
100	273385	8591.943392132753	251733.11876247506
101	273385	8394.682022358855	252014.07884231536
102	273385	8508.08358044561	251773.47904191617
103	273385	8628.457373869656	251479.88323353292
104	273385	8559.090233789999	251528.91516966067
105	273385	8530.075210299012	251450.84031936128
106	273385	8349.15157656295	251381.3103792415
107	273385	8334.892542536272	251595.04091816366
108	273385	8315.837102550233	251931.21457085828
109	273385	8624.93044464734	251482.7005988024
110	273385	8532.183678399486	251637.86327345308
111	273385	8585.142104045517	251724.47005988023
112	273385	8384.029061090003	251168.83433133733
113	273385	8465.47412833746	251462.69660678643
114	273385	8455.755740706987	251464.37824351297
115	273385	8357.776107903619	251565.72155688622
116	273385	8516.175444658715	251610.4361277445
117	273385	8416.737112473173	251850.54890219562
118	273385	8481.055375356815	251673.62774451097
119	273385	8842.398323241729	251174.32834331336
120	273385	8733.202886167182	251240.43013972056
121	273385	8608.945462572781	251782.61377245508
122	273385	8542.098830796493	251864.61377245508
123	273385	8802.454469012526	251621.1387225549
124	273385	8685.062483196838	251765.44411177645
125	273385	8691.816537143055	251656.75748502993
126	273385	8807.823098609748	251423.51896207585
127	273385	8725.768622451893	251506.08582834332
128	273385	8738.450039421657	251445.97904191617
129	273385	8459.141248943586	251860.06886227545
130	273385	8709.377102835011	251432.375249501
131	273385	8756.112323246829	251415.66766467065
132	273385	8475.040779899571	251771.42714570859
133	273385	8343.982694390776	251856.60479041917
134	273385	8383.79654444138	251791.8243512974
135	273385	8852.219259955451	251491.56586826348
136	273385	8634.159610722376	251631.25349301397
137	273385	8530.093225529396	251464.64071856288
138	273385	8493.484486370355	251716.64670658682
139	273385	8507.98416304727	251752.09381237524
140	273385	8794.690909465418	251739.3123752495
141	273385	8444.088636562496	252106.7744510978
142	273385	8480.018295186126	251861.6986027944
143	273385	8837.47296669928	251592.81736526947
144	273385	8707.257137984916	251539.0119760479
145	273385	8754.863022521922	251557.82035928144
146	273385	8667.400226320971	251646.39720558882
147	273385	8522.684289758085	251829.12874251496
148	273385	8881.024440235416	251592.83333333334
149	273385	8505.19941614754	251877.1497005988
150	273385	8763.167449979048	251909.61976047905
151	273385	8570.27797031268	251161.5978043912
152	273385	8617.03951873412	251516.40518962077
153	273385	8790.941224244722	251494.8233532934
154	273385	8973.305709263086	251641.73053892216
155	273385	8650.046773724616	251788.86526946106
156	273385	8783.366205857217	251321.48003992016
157	273385	8552.154161144403	251609.98502994012
158	273385	8530.771168693818	251589.8113772455
159	273385	8729.795873088418	251535.03493013972
160	273385	8482.17071822617	251822.6876247505
161	273385	8610.18040824181	251265.87025948105
162	273385	8455.193153067437	251562.35329341318
163	273385	8643.156460139922	251177.25848303392
164	273385	8534.572973046023	251749.13373253492
165	273385	8467.707061764222	251567.4241516966
166	273385	8711.560994700601	251386.23353293413
167	273385	8521.923456546852	251748.94211576847
168	273385	8702.748055224367	251600.72355289423
169	273385	8517.053809552766	251597.5638722555
170	273385	8461.694876515097	251754.9760479042
171	273385	8588.868305696671	251351.36926147706
172	273385	8474.744682708606	251504.74051896206
173	273385	8455.857395068473	251377.56686626747
174	275969	8249.115292373735	251784.05489021956
175	275969	8482.190638528933	251491.64171656687
176	275969	8649.874535583624	251698.23253493014
177	275969	8611.64446705409	251580.7774451098
178	275969	8673.053727364364	251578.0359281437
179	275969	8605.748652371438	251831.47105788422
180	275969	8662.818874542394	251574.3882235529
181	275969	8573.759753722092	251668.39221556886
182	275969	8585.52969291772	251683.86626746508
183	275969	8879.065861388026	251652.78443113773
184	275969	8578.190272696487	251896.30638722554
185	275969	8714.83224266546	251401.1007984032
186	275969	8677.196612373229	251579.65369261478
187	275969	8639.58395382467	251502.86626746508
188	275969	8746.518434472371	251442.08183632736
189	275969	8616.915007017653	251519.9491017964
190	275969	8640.517478562058	251476.37025948105
191	275969	8529.04506468147	251810.07684630738
192	275969	8555.215404920727	251860.6387225549
193	275969	8544.365926447888	251647.38023952095
194	275969	8481.143250761157	251530.07884231536
195	275969	8615.039797537798	251559.79740518963
196	275969	8805.395300756034	251627.04491017965
197	275969	8576.838834017875	251451.97005988023
198	275969	8511.608475609124	251728.87325349302
199	275969	8865.288608552228	251747.0628742515
200	275969	8713.034518562117	251655.48203592814
201	275969	8707.27784786715	251574.1986027944
202	275969	8684.070065611048	251478.86726546907
203	275969	8786.981290909143	251183.8622754491
204	275969	8744.094987587785	251452.06986027944
205	275969	8540.10635071785	251911.25848303392
206	275969	8674.802940341158	251715.64371257485
207	275969	8648.392190540668	251557.4251497006
208	275969	8510.266033981115	251619.02994011977
209	275969	8463.153769749797	251489.02894211578
210	275969	8638.941169793981	251397.55289421158
211	275969	8730.051814063307	251439.375249501
212	275969	8526.780857499793	251512.8982035928
213	275969	8461.698661562357	251786.02594810378
214	275969	8610.617322995684	251561.27944111777
215	275969	8597.154506202347	251523.58582834332
216	277226	8633.872878740134	251568.16067864271
217	277226	8678.659459087878	251371.20758483035
218	277226	8228.396465527265	251876.45309381236
219	277226	8772.979738104637	251626.7994011976
220	277226	8715.449240682452	251378.48902195608
221	277226	8359.571788205283	251780.6477045908
222	277226	8602.57081970933	251718.45908183634
223	277226	8619.729359404528	251289.9031936128
224	277226	8769.925867009766	251367.02095808383
225	277226	8743.140222093296	251714.38023952095
226	277226	8682.750027024475	251597.80738522953
227	277226	8545.326756842629	251506.80938123752
228	277226	8584.980526509138	251665.42714570859
229	277226	8634.3041887194	251439.30439121756
230	277226	8487.574517301773	251740.71556886227
231	277226	8688.849942857214	251426.1007984032
232	277226	8548.64835622853	251627.16666666666
233	277226	8593.662758070708	251463.19461077845
234	277226	8657.871203079723	251409.4251497006
235	277226	8686.70581822035	251689.48502994012
236	277226	8629.61499399575	251649.13572854293
237	277226	8616.634332576126	251488.69461077845
238	277226	8641.506307825612	251299.58383233534
239	277226	8619.340514633675	251435.75349301397
240	277226	8832.306608093146	251235.06786427146
241	277226	8643.730751051675	251665.3143712575
242	277226	8662.445256837254	251390.38622754492
243	277226	8432.23804979075	251931.78542914172
244	277226	8542.762150143939	251455.1756487026
245	277226	8712.389380609055	251353.75748502993
246	277226	8663.295180714196	251571.10678642715
247	277226	8707.292764693295	251434.44411177645
248	277226	8592.727199546896	251526.29540918165
249	277226	8685.148984113204	251522.25249500998
250	277226	8608.685968271573	251616.58982035928
251	277226	8699.800204051042	251432.10479041917
