generation	best	sd	avg
0	250416	6372.750922577208	248097.61377245508
1	250416	6612.9407728114065	247527.0249500998
2	250416	7061.3343822204615	247943.4391217565
3	260155	7122.271459813199	248516.85528942116
4	260155	6762.568242220889	249535.5239520958
5	260155	6549.548915357684	249179.66966067866
6	263320	6903.8301540573275	249046.78542914172
7	263320	6530.759498854102	250081.9500998004
8	263320	6547.939814576676	251213.87025948105
9	263320	6584.226564090824	252141.8123752495
10	268324	7246.950017465342	252695.71956087823
11	268324	7233.253295935998	252207.4361277445
12	268324	7049.75974524996	251466.34431137724
13	268324	6918.964477534268	251521.54091816366
14	268324	6881.178821270538	251408.9730538922
15	268324	6408.726588638669	251347.4361277445
16	268324	6726.498497727707	251946.3143712575
17	268324	6977.6719389629	251635.53193612775
18	268324	7106.787289062541	251639.75848303392
19	268324	6749.974613577642	250904.35429141717
20	268324	6893.689858875957	251173.95808383235
21	268324	6807.762050114472	251618.5968063872
22	268324	6408.210794662991	251680.72355289423
23	268324	6487.640498215686	252517.29241516965
24	268324	6767.312179241827	252365.9131736527
25	268324	6444.563898522688	252754.6626746507
26	268324	7050.02112845756	252623.9031936128
27	268324	7219.892177906818	253308.52894211578
28	268324	7345.265336094967	254021.50199600798
29	268324	7197.723041738565	253733.97904191617
30	268324	7390.690385727316	254440.52095808383
31	268324	7791.667258736992	254632.8502994012
32	268324	8246.315254348225	254892.7774451098
33	268324	8872.875096310714	254777.89620758482
34	268324	8751.73758537638	254109.74151696608
35	268324	7975.7916210643425	254691.748502994
36	269686	7975.516898359151	254782.1616766467
37	269686	7766.684478269892	254727.73153692615
38	269686	7885.55474033479	255111.51097804392
39	269686	7824.617038638011	255764.12175648703
40	269686	7802.520346055921	257037.38123752494
41	269686	8086.870167321131	257609.51696606787
42	269686	8557.662879522504	258188.97804391218
43	269686	8648.61316219848	258966.46107784432
44	269686	8887.951006653931	259889.96506986028
45	269686	9295.216073315965	259472.44510978044
46	269686	9442.518498616337	259390.6616766467
