generation	best	sd	avgcatastrophe
0	252284	6017.167821103616	250276.0638722555	NaN
1	252345	5600.761025356683	251639.0279441118	NaN
2	262986	5475.985225465464	252804.39620758482	NaN
3	262986	5371.4511286463585	253732.5618762475	NaN
4	262986	5408.855984978261	254472.0518962076	NaN
5	262986	5399.457881997026	255285.98902195608	NaN
6	262986	5484.556051474409	255913.63273453093	NaN
7	262986	5740.614420178788	256519.1756487026	NaN
8	264928	5787.940718417623	257300.98203592814	NaN
9	264928	5895.516724092379	257981.60479041917	NaN
10	265924	6097.519753066861	258652.2994011976	NaN
11	265924	6076.8351580889685	259441.749500998	NaN
12	266625	6528.994371056628	259734.4391217565	NaN
13	266625	6327.245939636352	260774.19261477047	NaN
14	266625	6439.286295456078	261607.1487025948	NaN
15	266625	6332.394978835789	262597.4341317365	NaN
16	273848	6085.799859177285	263644.0459081836	NaN
17	273848	6616.7156572874355	264236.0389221557	NaN
18	273848	7053.908744384605	264938.7994011976	NaN
19	273848	6949.127504725181	265939.78343313374	NaN
20	274619	7477.385379144975	266443.10778443114	NaN
21	274619	7545.636138617425	267346.878243513	NaN
22	274619	7335.342995808497	268514.15469061874	NaN
23	274619	7613.990913362027	269467.4540918164	NaN
24	274619	8341.582978268625	269833.8902195609	NaN
25	274619	8128.402699751542	271026.7015968064	NaN
26	274619	8018.125827452318	272372.6087824351	NaN
27	279925	8642.804434937902	272784.74351297406	NaN
28	279925	8537.817805773822	273890.1856287425	NaN
29	279925	8894.49379924018	274632.6666666667	NaN
30	279925	9230.147952607776	275477.1127744511	NaN
31	280075	9615.270487265665	276141.80738522956	NaN
32	280075	9853.792805534551	276784.7954091816	NaN
33	280867	9970.790595947852	277660.8113772455	NaN
34	282881	10207.440780518642	278470.9231536926	NaN
35	286469	10563.118217362622	279152.91916167666	NaN
36	286469	11164.635839246177	279578.373253493	NaN
37	286469	11045.823687704167	280488.56087824353	NaN
38	286469	10597.525529538569	281585.21756487025	NaN
39	286469	10386.387539476083	282697.18063872255	NaN
40	289717	11270.988033222748	282866.4530938124	NaN
41	289717	12084.88757957774	282993.1487025948	NaN
42	289717	11700.767103108234	283968.6117764471	NaN
43	289717	12071.02922013282	284542.1766467066	NaN
44	289717	12866.848356027502	284828.5828343313	NaN
45	293053	11786.510286346173	286269.80239520955	NaN
46	293333	12117.467247186933	286717.78143712576	NaN
47	294503	13278.243319810243	286936.23053892213	NaN
48	294503	12998.803940484013	287566.55888223555	NaN
49	294503	12977.852270002102	288390.1357285429	NaN
50	296650	12719.371163452945	289073.02295409184	NaN
51	296650	13368.530930797719	289368.23652694613	NaN
52	296650	13871.311829985589	289865.4231536926	NaN
53	296650	14221.532391052366	290296.38522954093	NaN
54	297604	14843.152812492366	290426.09780439123	NaN
55	297604	14793.149750694423	290983.52195608785	NaN
56	298398	15137.682041359372	291146.6776447106	NaN
57	298398	15603.32685969177	291421.2375249501	NaN
58	298398	16308.554892322467	291652.21756487025	NaN
59	298398	15313.099147165518	292805.1027944112	NaN
60	298398	15777.69451956521	292847.61576846306	NaN
61	301649	15589.659263193073	293525.05089820357	NaN
62	301649	14726.268243717866	294772.26746506983	NaN
63	301649	15052.3817630165	295254.15369261475	NaN
64	302763	15757.866884611389	295344.23453093815	NaN
65	302763	16751.037237375687	295202.17165668664	NaN
66	306517	16998.459153704145	295450.56886227545	NaN
67	306517	16560.21257848055	296535.59680638724	NaN
68	306517	16646.69567447149	297141.13273453095	NaN
69	306517	17262.327628530245	297161.869261477	NaN
70	306517	17308.520780241663	297736.6636726547	NaN
71	306517	16852.322461299293	298754.41916167666	NaN
72	307393	17121.635521280536	299367.499001996	NaN
73	307393	16129.850786185143	300553.5389221557	NaN
74	307393	17050.541562503808	300357.48403193615	NaN
75	309166	17089.3573044957	301090.88522954093	NaN
76	309166	17740.705496700033	301314.27145708585	NaN
77	309166	17168.267735209698	302176.7225548902	NaN
78	312387	18234.876784734442	302143.44810379244	NaN
79	312387	17643.293513928627	303110.45708582836	NaN
80	312387	17467.346023350532	303789.0379241517	NaN
81	312387	18471.777700530092	303766.9011976048	NaN
82	312387	18203.3891003485	304403.9760479042	NaN
83	313168	18777.47342144444	304476.2115768463	NaN
84	313168	18128.71265705949	305362.34630738525	NaN
85	313168	19719.935888279448	304939.5848303393	NaN
86	313204	17922.88457749509	306569.9151696607	NaN
87	313860	17632.8294263452	307262.0618762475	NaN
88	314384	19076.968688411675	306804.30139720556	NaN
89	314384	18380.408534984483	307695.8153692615	NaN
90	315102	18352.401013610135	308109.29241516965	NaN
91	315102	21032.13992206652	306640.8423153693	NaN
92	316970	21276.912781393643	306840.5628742515	NaN
93	317685	20178.907408392013	308030.876247505	NaN
94	317685	20674.386948069376	307975.2994011976	NaN
95	317685	20147.732854701673	308712.90319361276	NaN
96	317685	22674.66934300497	307128.2764471058	NaN
97	317685	20302.417567755303	309360.41117764474	NaN
98	317715	20678.528274143573	309220.5189620759	NaN
99	317715	21052.690377410196	309268.3123752495	NaN
100	317715	21051.220147375418	309512.9161676647	NaN
101	318141	21245.07202122885	309879.120758483	NaN
102	318141	21558.67249223373	309990.17864271457	NaN
103	318141	21822.57434759977	309960.9820359281	NaN
104	318141	22250.77889795198	310033.63173652696	NaN
105	318141	20858.863856691558	311302.26546906185	NaN
106	321256	21475.835828754985	311102.7005988024	NaN
107	321256	22646.91099521068	310604.27245508984	NaN
108	321256	21504.168396471978	311781.93113772455	NaN
109	322268	22533.184912665034	311484.4381237525	NaN
110	322268	21670.00537475065	312542.5618762475	NaN
111	322268	22113.028814312915	312431.7245508982	NaN
112	322268	21865.168404554297	312898.3223552894	NaN
113	322268	21763.600348146407	313421.58083832334	NaN
114	322268	23017.5770104514	313183.2614770459	NaN
115	322268	22616.247727750946	313662.2315369261	NaN
116	324217	23073.01499819168	313804.56786427146	NaN
117	324217	22234.90595262315	314745.5988023952	NaN
118	324217	20136.027625258776	316658.69161676645	NaN
119	324217	21786.77857125071	315884.7125748503	NaN
120	324217	20870.48567108375	317048.4620758483	NaN
121	324217	20166.32842835529	317931.21756487025	NaN
122	326355	21737.81008953983	317277.120758483	NaN
123	326355	22480.390691968463	317030.8962075848	NaN
124	326355	21002.69961759606	318474.05289421155	NaN
125	327974	22499.55423626254	317966.8113772455	NaN
126	327974	21552.96013845157	318866.4361277445	NaN
127	327974	21014.626263656442	319753.0289421158	NaN
128	327974	22071.870638704684	319304.1037924152	NaN
129	327974	21229.74942572658	320245.82934131735	NaN
130	327974	21352.121856175265	320609.5988023952	NaN
131	327974	21000.123827671945	321263.6676646707	NaN
