generation	best	sd	avg
0	258668	6519.363128191676	252550.45908183634
1	262152	7081.6466905075695	255001.44111776448
2	264308	7755.364812883689	257371.7864271457
3	265491	8559.362838906905	260485.86327345308
4	268280	9876.646218031883	262020.2005988024
5	271176	10462.014787670003	265068.8512974052
6	280536	12004.641266427136	267910.46906187624
7	280559	12819.432767054239	270829.59481037926
8	281502	14364.09962358616	273698.48602794413
9	290497	15235.713301410506	276802.63373253495
10	290497	15910.692793210574	279826.0768463074
11	293502	17100.584414434637	281830.4001996008
12	293502	18552.100861695875	283208.0089820359
13	294387	19075.01823907812	285753.99600798404
14	299110	18877.331843054297	288597.18063872255
15	299110	19493.55276547843	290446.9361277445
16	302848	20542.806521678773	291586.26447105786
17	302848	22006.507453463157	292237.119760479
18	306245	23871.01374546557	291777.68163672654
19	307640	23772.31414072742	293895.5738522954
20	308376	24626.341191657288	295043.05089820357
21	310451	24862.191787289303	296810.7235528942
22	310593	23984.870345006686	299867.93113772455
23	313183	25543.7857607674	300220.99500998005
24	313183	26702.117586149743	300380.5658682635
25	316490	27972.723164249237	299683.6596806387
26	317583	27649.848303905947	301805.04191616765
27	317583	27250.871589214967	303740.1127744511
28	318038	27538.461293314333	304456.7015968064
29	318818	27895.13846881508	304659.97904191614
30	319121	28517.127115423864	304865.3043912176
31	319740	28933.833792900725	304714.8592814371
32	320757	30247.114801396314	304047.45708582836
33	321661	29604.457178432483	305461.68962075847
34	321661	26179.710106589562	310256.5129740519
35	322602	27298.138758300316	310109.1756487026
36	322639	28814.576800636398	308767.18962075847
37	323218	27896.9745029269	310299.7774451098
38	323395	29391.138904171945	309072.23552894214
39	323531	30537.74089060475	307869.90219560877
40	323613	31419.10577754752	307153.6996007984
41	323813	30528.059106447756	308242.22654690617
42	324107	27254.4184506059	312600.64371257485
43	324446	21975.298297691097	317146.0349301397
44	324446	21615.60792807418	317638.3992015968
45	324446	21785.18846463135	317513.6746506986
46	324446	24353.743102978457	315657.3343313373
47	324557	22736.57212261411	316958.4011976048
48	324557	19893.046907822518	319000.88223552896
49	324557	21670.47802261876	317827.0738522954
50	324557	20089.801728701	318826.14471057884
51	324557	22013.302414215246	317623.88123752497
52	324557	20943.14446211374	318367.9910179641
53	324557	20143.583816212547	318850.76946107787
54	324557	21732.97542275495	317925.90419161675
55	324557	19740.760201328543	319045.9271457086
56	324557	20066.708819791667	319040.1666666667
57	324557	20517.513320369886	318630.94910179643
58	324557	21168.05612672399	318179.26746506983
59	324557	19426.966888428648	319175.4231536926
60	324557	20152.860327048103	318846.7854291417
61	324557	20967.70974971353	318240.35828343313
62	324557	19943.47503349538	318949.95608782436
63	324557	19748.09154462618	319000.58882235526
64	324557	21070.54825584513	318215.27045908186
65	324557	19838.835034226933	318899.0648702595
66	324557	22014.907671684516	317592.75648702594
67	324557	22111.669710882954	317473.63373253495
68	324557	20468.945871212345	318594.27045908186
69	324557	21202.16301495895	318209.124750499
70	324557	19830.238187723	318943.23552894214
71	324557	20333.716263300157	318707.80139720556
72	324557	20640.584032839713	318544.9920159681
73	324557	22180.895746871138	317537.0479041916
74	324557	20256.05330521467	318657.22954091814
75	324557	20205.09454928473	318752.5349301397
76	324557	20176.278144232136	318847.1666666667
77	324557	22060.81985377112	317570.1666666667
78	324557	22366.390349404835	317396.5359281437
79	324557	20060.055866784125	318840.130738523
80	324557	20069.886511858942	318910.6377245509
81	324557	22464.830562073916	317327.6776447106
82	324557	21118.921928740176	318113.6636726547
83	324557	21791.589239761113	317689.2425149701
84	324557	21111.82504264272	318158.0848303393
85	324557	21517.289408482444	317999.56786427146
86	324557	19628.421752116305	319076.1467065868
87	324557	22884.24068625795	316840.61876247503
88	324557	20505.703418247947	318542.1646706587
89	324557	19803.89178683114	319105.5089820359
90	324557	21668.572821792026	317852.3483033932
91	324557	21395.402544263976	317949.1726546906
92	324557	21114.442763168918	318152.3323353293
93	324557	20158.110130363904	318726.3972055888
94	324557	22162.395419348453	317379.08782435127
95	324557	20280.788119080218	318817.2794411178
96	324557	23446.954909937693	316485.8962075848
97	324557	20371.637785890554	318705.52994011977
98	324557	20161.856402101723	318816.3053892216
99	324557	19963.37019227335	318870.4271457086
100	324557	20010.17552719257	318810.5938123753
101	324557	19531.477731989227	319271.4461077844
102	324557	20559.18625787934	318442.94311377243
103	324557	21370.855491378115	317915.35628742515
104	324557	21268.20136438265	318109.1037924152
105	324557	20335.464750148738	318793.95708582836
106	324557	20693.693990536267	318403.6467065868
107	324557	21380.668041597924	318115.55988023954
108	324557	20642.540785376063	318501.20958083833
109	324557	21727.2818734523	317885.5918163673
110	324557	23365.842872774374	316727.6487025948
111	324557	20869.965157395436	318397.21756487025
112	324557	20936.12169549939	318216.05089820357
113	324557	19552.652429342754	319264.3962075848
114	324557	20793.264802787184	318541.99600798404
115	324557	21036.417558854613	318224.3892215569
116	324557	21407.88380867361	318028.0129740519
117	324557	19741.990680624283	319123.9540918164
118	324557	20997.054296516664	318273.33133732533
119	324557	21447.17642845994	317934.9241516966
120	324557	22249.67055542375	317509.98303393216
121	324557	19563.554007428567	319297.4610778443
122	324557	22154.70605621325	317459.872255489
123	324557	19791.297733647265	319035.73353293416
124	324557	21006.10911277221	318355.23053892213
125	324557	20206.628848852586	318802.4011976048
126	324557	18371.427794472056	319819.1107784431
127	324557	22491.901923256333	317474.71656686626
128	324557	21408.282638431163	318151.50399201596
129	324557	20774.932400581332	318420.7035928144
130	324557	20749.086453246982	318391.2964071856
131	324557	21191.936197731353	318133.32135728543
132	324557	21007.907789964313	318352.23353293416
133	324557	20245.86030872511	318825.5918163673
134	324557	21990.66343207484	317682.4610778443
135	324557	21125.243739665282	318317.29241516965
136	324557	19956.154471955204	318867.26646706584
137	324557	20943.60475312072	318323.3343313373
138	324557	20629.645853301186	318547.45708582836
139	324557	20671.620119157662	318572.93013972056
140	324557	20806.71860247009	318373.369261477
141	324557	20254.165281791917	318823.875249501
142	324557	24089.649479355667	316048.06886227545
143	324557	21450.553909234255	317972.0548902196
144	324557	21612.687987505993	317872.3353293413
145	324557	19648.92824139288	319114.26347305387
146	324557	20832.62334862424	318363.3123752495
147	324557	22293.745671553756	317456.3373253493
148	324557	21562.148273264665	318020.5099800399
149	324557	21240.9116972388	318073.629740519
150	324557	20491.793710257658	318632.6876247505
151	324557	18755.186006820546	319559.74451097805
152	324557	20478.811309065353	318509.6936127744
153	324557	20970.636374749487	318317.2235528942
154	324557	20207.10323694423	318791.98403193615
155	324557	20715.104240346755	318563.749500998
156	324557	20026.134421601135	318884.9361277445
157	324557	20639.241818770035	318461.2395209581
158	324557	20397.696464186534	318735.380239521
159	324557	19744.042880109922	319041.7854291417
160	324557	21144.505942626765	318020.88323353295
