generation	all	allUniform	nonHeuristic	withouCBF	withoutCatastrophe
0	1277	1363	1548	1292	1442
1	1592	1726	1548	1484	1715
2	1592	1726	1744	1631	1715
3	1730	1853	1765	1632	1835
4	1998	1853	1778	1783	1835
5	1998	1853	1778	1783	1835
6	1998	2046	1778	1833	1885
7	1998	2046	1844	1872	1943
8	2048	2115	1924	1992	1963
9	2048	2115	1964	1992	1995
10	2130	2115	1964	2081	2106
11	2189	2115	2004	2095	2106
12	2231	2126	2027	2095	2135
13	2231	2156	2027	2095	2138
14	2231	2236	2027	2112	2194
15	2251	2236	2036	2114	2194
16	2259	2259	2051	2141	2194
17	2259	2259	2051	2141	2206
18	2261	2259	2066	2141	2206
19	2261	2259	2066	2141	2217
20	2271	2268	2076	2141	2227
21	2271	2273	2094	2152	2236
22	2271	2278	2094	2160	2236
23	2271	2285	2106	2160	2236
24	2271	2285	2106	2171	2236
25	2271	2286	2107	2171	2237
26	2271	2295	2107	2171	2238
27	2271	2298	2107	2180	2247
28	2271	2298	2107	2180	2247
29	2271	2298	2107	2181	2248
30	2271	2308	2117	2182	2248
31	2271	2309	2117	2183	2248
32	2272	2309	2117	2183	2248
33	2272	2309	2117	2183	2249
34	2272	2309	2117	2183	2249
35	2272	2309	2195	2183	2249
36	2272	2309	2195	2183	2249
37	2272	2309	2195	2183	2249
38	2272	2309	2195	2183	2249
39	2272	2309	2195	2183	2249
40	2272	2309	2195	2183	2249
41	2282	2309	2195	2183	2249
42	2282	2309	2195	2183	2249
43	2282	2309	2197	2183	2249
44	2282	2309	2197	2183	2249
45	2282	2309	2197	2183	2249
46	2282	2309	2277	2183	2249
47	2282	2309	2277	2183	2249
48	2282	2309	2278	2183	2249
49	2282	2309	2278	2183	2249
50	2282	2309	2278	2183	2249
51	2282	2309	2278	2183	2249
52	2282	2309	2278	2183	2249
53	2282	2309	2278	2183	2249
54	2282	2309	2278	2183	2249
55	2282	2309	2278	2183	2249
56	2282	2309	2278	2183	2249
57	2282	2309	2278	2183	2249
58	2282	2309	2278	2183	2249
59	2282	2309	2278	2183	2249
60	2282	2309	2278	2183	2249
61	2282	2309	2278	2183	2249
62	2282	2309	2278	2183	2249
63	2282	2309	2278	2183	2249
64	2282	2309	2278	2183	2249
65	2282	2309	2278	2183	2249
66	2282	2309	2278	2183	2249
67	2282	2309	2278	2183	2249
68	2282	2309	2279	2183	2249
69	2282	2309	2279	2183	2249
70	2282	2309	2279	2183	2249
71	2282	2309	2279	2183	2249
72	2282	2309	2279	2183	2249
73	2282	2309	2279	2183	2249
74	2282	2309	2279	2183	2249
75	2282	2309	2279	2183	2249
76	2282	2309	2279	2183	2249
77	2282	2309	2279	2183	2249
78	2291	2309	2279	2183	2249
79	2291	2310	2280	2183	2249
80	2291	2310	2280	2183	2249
81	2292	2310	2280	2183	2249
82	2292	2310	2288	2183	2249
83	2292	2310	2288	2183	2249
84	2292	2310	2288	2183	2249
85	2292	2310	2288	2183	2249
86	2293	2310	2289	2183	2249
87	2293	2310	2289	2183	2249
88	2293	2310	2289	2183	2249
89	2293	2310	2289	2183	2249
90	2293	2310	2289	2183	2249
91	2293	2310	2289	2183	2249
92	2293	2310	2289	2183	2249
93	2293	2310	2289	2183	2249
94	2293	2310	2289	2183	2249
95	2293	2310	2289	2183	2249
96	2293	2310	2289	2183	2249
97	2293	2310	2289	2183	2249
98	2293	2310	2289	2183	2249
99	2293	2310	2289	2183	2249
100	2293	2310	2289	2183	2249
101	2293	2310	2289	2183	2249
102	2293	2310	2289	2183	2249
103	2293	2310	2289	2183	2249
104	2293	2310	2289	2183	2249
105	2293	2310	2289	2183	2249
106	2293	2310	2289	2183	2249
107	2293	2310	2289	2183	2249
108	2293	2310	2289	2183	2249
109	2293	2310	2289	2183	2249
110	2293	2311	2289	2183	2249
111	2293	2311	2289	2183	2249
112	2293	2311	2289	2183	2249
113	2293	2311	2289	2183	2249
114	2293	2311	2289	2183	2249
115	2293	2311	2289	2183	2249
116	2293	2311	2290	2183	2249
117	2293	2311	2290	2183	2249
118	2293	2311	2290	2183	2249
119	2293	2311	2290	2183	2249
120	2293	2311	2290	2183	2249
121	2294	2311	2290	2183	2249
122	2294	2311	2290	2183	2249
123	2294	2311	2290	2183	2249
124	2294	2311	2290	2183	2249
125	2294	2311	2290	2183	2249
126	2294	2311	2290	2183	2249
127	2294	2311	2290	2183	2249
128	2294	2311	2290	2183	2249
129	2294	2311	2290	2183	2249
130	2294	2311	2290	2183	2249
131	2294	2311	2290	2183	2249
132	2294	2311	2290	2183	2249
133	2294	2311	2290	2183	2249
134	2294	2311	2300	2183	2249
135	2294	2311	2300	2183	2249
136	2294	2311	2300	2183	2249
137	2294	2311	2300	2183	2249
138	2294	2311	2301	2183	2249
139	2294	2311	2301	2183	2249
140	2294	2311	2301	2183	2249
141	2294	2311	2301	2183	2249
142	2294	2311	2301	2183	2249
143	2294	2311	2301	2183	2249
144	2294	2311	2301	2183	2249
145	2294	2311	2301	2183	2249
146	2294	2311	2301	2183	2249
147	2294	2311	2301	2183	2249
148	2294	2311	2301	2183	2249
149	2294	2311	2301	2183	2249
150	2294	2311	2301	2183	2249
151	2294	2311	2301	2183	2249
152	2294	2311	2301	2183	2249
153	2294	2311	2301	2183	2249
154	2294	2311	2301	2183	2249
155	2294	2311	2301	2183	2249
156	2294	2311	2301	2183	2249
157	2294	2311	2301	2183	2249
158	2294	2311	2301	2183	2249
159	2294	2311	2301	2183	2249
