generation	best	sd	avg	cv	catastrophe
0	1292	184.53647219711635	1333.3333333333333	1384.0235414783726	NaN
1	1484	136.76610998709344	1465.735294117647	933.0887407567326	NaN
2	1631	122.9738419846416	1588.5588235294117	774.1220542996454	NaN
3	1632	137.95652614571364	1651.2745098039215	835.4548279322444	NaN
4	1783	105.5626060375461	1722.0392156862745	613.0093035975191	NaN
5	1783	103.1042323175998	1783.7156862745098	578.0306419401655	NaN
6	1833	94.45050597028636	1842.5882352941176	512.5969229647773	NaN
7	1872	87.85006298402868	1886.9901960784314	465.5565416640737	NaN
8	1992	104.78758918319409	1921.6764705882354	545.2925650440943	NaN
9	1992	72.05901505131065	1978.6666666666667	364.1796582781872	NaN
10	2081	67.02703682326786	2013.3431372549019	332.9141246864459	NaN
11	2095	54.32738681604823	2049.6862745098038	265.0522057530048	NaN
12	2095	82.28287229781142	2068.3627450980393	397.8164492317389	NaN
13	2095	54.14373975313716	2075	260.9336855572875	NaN
14	2112	71.68003062858152	2075.5882352941176	345.3480291018523	NaN
15	2114	30.04269433354589	2098.029411764706	143.19481969643226	NaN
16	2141	70.7919898301483	2087.3823529411766	339.14241792070595	NaN
17	2141	63.757921156450784	2092.323529411765	304.7230519573408	NaN
18	2141	47.83008007406304	2114.7450980392155	226.17420945158324	NaN
19	2141	93.69788126112938	2112.1176470588234	443.62055963883466	NaN
20	2141	22.480423546424465	2137.392156862745	105.17687862867959	NaN
21	2152	52.27052816768873	2128.901960784314	245.5281132271193	NaN
22	2160	24.342212154291786	2143.2450980392155	113.57642752367275	NaN
23	2160	23.54298579533175	2151.5098039215686	109.42541722291863	NaN
24	2171	23.106257719434616	2159.107843137255	107.01761745194007	NaN
25	2171	31.049651497010537	2165.1666666666665	143.40536446929661	NaN
26	2171	14.264594102999071	2171.5392156862745	65.68886253565083	NaN
27	2180	10.820471584887391	2176.127450980392	49.72351954851053	NaN
28	2180	1.4674359536294157	2180.4901960784314	6.729844308718151	NaN
29	2181	0.6812375824618696	2181.2450980392155	3.1231592592425943	NaN
30	2182	0.6278497446707533	2181.774509803922	2.877702264140847	NaN
31	2183	0.46095879751576835	2182.1862745098038	2.1123714455555174	NaN
32	2183	0.5023725500008631	2182.4901960784314	2.301831874908498	NaN
33	2183	0.32378080982826285	2182.8823529411766	1.4832719197716102	NaN
34	2183	0	2183	0	NaN
35	2183	0	2183	0	NaN
36	2183	0	2183	0	NaN
37	2183	0	2183	0	NaN
38	2183	0	2183	0	NaN
39	2183	0	2183	0	NaN
40	2183	0	2183	0	NaN
41	2183	0	2183	0	NaN
42	2183	0	2183	0	NaN
43	2183	0	2183	0	NaN
44	2183	0	2183	0	NaN
45	2183	0	2183	0	NaN
46	2183	0	2183	0	NaN
47	2183	0	2183	0	NaN
48	2183	0	2183	0	NaN
49	2183	0	2183	0	NaN
50	2183	0	2183	0	NaN
51	2183	0	2183	0	NaN
52	2183	0	2183	0	NaN
53	2183	0	2183	0	NaN
