generation	best	sd	avg	cv	catastrophe
0	1442	186.570016916227	1402.65	1330.125240909899	NaN
1	1715	143.14306292882816	1519.23	942.2079798899979	NaN
2	1715	134.8650593831636	1584.96	850.9051293607637	NaN
3	1835	108.78340076881348	1655.9	656.944264561951	NaN
4	1835	128.89590624401015	1701.63	757.4849188367044	NaN
5	1835	137.2743985783602	1778.89	771.6857061333765	NaN
6	1885	100.16233036547433	1833.05	546.4244312237764	NaN
7	1943	114.10708066805434	1888.72	604.1503275660465	NaN
8	1963	82.64581542994664	1945.45	424.815931686482	NaN
9	1995	82.78562494159054	1995.07	414.95097887086945	NaN
10	2106	103.56859777193297	2030.51	510.0619931540991	NaN
11	2106	62.639097739802786	2087.4	300.0819092641697	NaN
12	2135	36.38941460025834	2112.82	172.2314944020709	NaN
13	2138	50.34316179377234	2118.52	237.63363949253414	NaN
14	2194	37.313223750657976	2132.81	174.94865342275205	NaN
15	2194	32.2182879869195	2144.11	150.26415616232143	NaN
16	2194	33.03609901885873	2155.5	153.26420328860462	NaN
17	2206	50.68063603277754	2164.72	234.12097653635365	NaN
18	2206	34.32376448003348	2197.02	156.2287301892267	NaN
19	2217	17.835148590704968	2209.22	80.73052294794076	NaN
20	2227	20.521019034692753	2215.17	92.63857417124984	NaN
21	2236	15.455521062491933	2222.66	69.5361461604201	NaN
22	2236	10.366106386496405	2228.72	46.511479174128674	NaN
23	2236	27.133807977383775	2229.17	121.72157339899503	NaN
24	2236	31.35637289630484	2227.01	140.8003237358828	NaN
25	2237	28.14977797425763	2229.79	126.24407668102212	NaN
26	2238	23.813626096812467	2234.61	106.56725825451629	NaN
27	2247	33.464980942695156	2231.79	149.94681821629794	NaN
28	2247	21.529908724770983	2239.28	96.146568203936	NaN
29	2248	1.5723301886761007	2246.75	6.998242744747305	NaN
30	2248	1.0679443105822755	2247.47	4.751762250807689	NaN
31	2248	1.4994611826865802	2247.79	6.6708241547768266	NaN
32	2248	1.7685238951387598	2247.94	7.86730915922471	NaN
33	2249	1.0777361233229361	2248.49	4.793155065501453	NaN
34	2249	1.0221783038435543	2248.84	4.545358068353259	NaN
35	2249	0.9999999999999986	2248.9	4.446618346747292	NaN
36	2249	1.4070529413628958	2248.8	6.256905644623336	NaN
37	2249	0.9999999999999993	2248.9	4.446618346747295	NaN
38	2249	1.7144660799776528	2248.7	7.624254369091711	NaN
39	2249	0.9999999999999987	2248.9	4.446618346747293	NaN
40	2249	1.4070529413628972	2248.8	6.256905644623342	NaN
41	2249	0.9999999999999986	2248.9	4.446618346747292	NaN
42	2249	1.7144660799776528	2248.7	7.624254369091711	NaN
43	2249	1.9694638556693245	2248.6	8.758622501420103	NaN
44	2249	0.9999999999999987	2248.9	4.446618346747293	NaN
45	2249	1.4070529413628972	2248.8	6.256905644623342	NaN
46	2249	0	2249	0	NaN
47	2249	0.9999999999999989	2248.9	4.446618346747294	NaN
48	2249	0.9999999999999986	2248.9	4.446618346747292	NaN
49	2249	0	2249	0	NaN
50	2249	0.9999999999999991	2248.9	4.446618346747295	NaN
51	2249	1.7144660799776514	2248.7	7.6242543690917035	NaN
52	2249	0.9999999999999996	2248.9	4.446618346747297	NaN
53	2249	0.9999999999999986	2248.9	4.446618346747292	NaN
54	2249	1.714466079977652	2248.7	7.624254369091707	NaN
55	2249	1.4070529413628965	2248.8	6.256905644623338	NaN
56	2249	1.7144660799776528	2248.7	7.624254369091711	NaN
57	2249	0.9999999999999998	2248.9	4.4466183467472975	NaN
58	2249	0	2249	0	NaN
59	2249	0	2249	0	NaN
60	2249	0	2249	0	NaN
61	2249	0	2249	0	NaN
62	2249	0	2249	0	NaN
63	2249	0	2249	0	NaN
64	2249	0	2249	0	NaN
65	2249	0	2249	0	NaN
66	2249	0	2249	0	NaN
67	2249	0	2249	0	NaN
68	2249	0	2249	0	NaN
69	2249	0	2249	0	NaN
70	2249	0	2249	0	NaN
71	2249	0	2249	0	NaN
72	2249	0	2249	0	NaN
73	2249	0	2249	0	NaN
74	2249	0	2249	0	NaN
75	2249	0	2249	0	NaN
76	2249	0	2249	0	NaN
77	2249	0	2249	0	NaN
78	2249	0	2249	0	NaN
79	2249	0	2249	0	NaN
80	2249	0	2249	0	NaN
81	2249	0	2249	0	NaN
82	2249	0	2249	0	NaN
83	2249	0	2249	0	NaN
84	2249	0	2249	0	NaN
85	2249	0	2249	0	NaN
86	2249	0	2249	0	NaN
87	2249	0	2249	0	NaN
88	2249	0	2249	0	NaN
89	2249	0	2249	0	NaN
90	2249	0	2249	0	NaN
91	2249	0	2249	0	NaN
92	2249	0	2249	0	NaN
93	2249	0	2249	0	NaN
94	2249	0	2249	0	NaN
95	2249	0	2249	0	NaN
96	2249	0	2249	0	NaN
97	2249	0	2249	0	NaN
98	2249	0	2249	0	NaN
99	2249	0	2249	0	NaN
100	2249	0	2249	0	NaN
101	2249	0	2249	0	NaN
102	2249	0	2249	0	NaN
103	2249	0	2249	0	NaN
104	2249	0	2249	0	NaN
105	2249	0	2249	0	NaN
106	2249	0	2249	0	NaN
107	2249	0	2249	0	NaN
108	2249	0	2249	0	NaN
109	2249	0	2249	0	NaN
110	2249	0	2249	0	NaN
111	2249	0	2249	0	NaN
112	2249	0	2249	0	NaN
113	2249	0	2249	0	NaN
114	2249	0	2249	0	NaN
115	2249	0	2249	0	NaN
116	2249	0	2249	0	NaN
117	2249	0	2249	0	NaN
118	2249	0	2249	0	NaN
119	2249	0	2249	0	NaN
120	2249	0	2249	0	NaN
121	2249	0	2249	0	NaN
122	2249	0	2249	0	NaN
123	2249	0	2249	0	NaN
124	2249	0	2249	0	NaN
125	2249	0	2249	0	NaN
126	2249	0	2249	0	NaN
127	2249	0	2249	0	NaN
128	2249	0	2249	0	NaN
129	2249	0	2249	0	NaN
130	2249	0	2249	0	NaN
131	2249	0	2249	0	NaN
132	2249	0	2249	0	NaN
133	2249	0	2249	0	NaN
134	2249	0	2249	0	NaN
135	2249	0	2249	0	NaN
136	2249	0	2249	0	NaN
137	2249	0	2249	0	NaN
138	2249	0	2249	0	NaN
139	2249	0	2249	0	NaN
140	2249	0	2249	0	NaN
141	2249	0	2249	0	NaN
142	2249	0	2249	0	NaN
143	2249	0	2249	0	NaN
144	2249	0	2249	0	NaN
145	2249	0	2249	0	NaN
146	2249	0	2249	0	NaN
